name,lat,lng,location_type,accessibility_metric,accessibility_category,accessibility_code,region
Block 196 (PASIR RIS),1.36613863438204,103.960336632262,HDB,70.4294,Poor Accessibility,3,PASIR RIS
Block 197 (PASIR RIS),1.36640299690077,103.960738659652,HDB,69.1624,Poor Accessibility,3,PASIR RIS
Block 197A (JURONG WEST),1.3441061022632,103.713719208827,HDB,104.3031,High Accessibility,1,JURONG WEST
Block 197B (JURONG WEST),1.3437815486012,103.713531362621,HDB,105.8791,High Accessibility,1,JURONG WEST
Block 197C (JURONG WEST),1.34340319524201,103.713686073692,HDB,106.4463,High Accessibility,1,JURONG WEST
Block 198 (PASIR RIS),1.36697256341726,103.960009214113,HDB,71.0117,Poor Accessibility,3,PASIR RIS
Block 199 (PASIR RIS),1.36734267382393,103.959675966403,HDB,71.8037,Poor Accessibility,3,PASIR RIS
Block 199A (PASIR RIS),1.36649878563099,103.959595060763,HDB,72.4461,Poor Accessibility,3,PASIR RIS
Block 2 (CHANGI),1.39046224455233,103.975283854916,HDB,28.3506,Poor Accessibility,3,CHANGI
Block 2 (BEDOK),1.32681005570681,103.922775477106,HDB,160.0346,High Accessibility,1,BEDOK
Block 2 (CHANGI),1.38915166172556,103.988245236848,HDB,24.7079,Poor Accessibility,3,CHANGI
Block 2 (GEYLANG),1.31229349318871,103.897692815712,HDB,193.627,High Accessibility,1,GEYLANG
Block 2 (HOUGANG),1.36313720753256,103.893184540903,HDB,111.9275,High Accessibility,1,HOUGANG
Block 2 (BUKIT MERAH),1.2866292132996,103.80686187976,HDB,103.7768,High Accessibility,1,BUKIT MERAH
Block 2 (MARINE PARADE),1.3044676150311,103.918174087572,HDB,104.3935,High Accessibility,1,MARINE PARADE
Block 2 (WOODLANDS),1.43993828758599,103.776694750398,HDB,69.4765,Poor Accessibility,3,WOODLANDS
Block 2 (TOA PAYOH),1.33398953306499,103.878963482772,HDB,80.9219,Moderate Accessibility,2,TOA PAYOH
Block 2A (BUKIT MERAH),1.2869237391087,103.806815304575,HDB,104.8752,High Accessibility,1,BUKIT MERAH
Block 2A (TOA PAYOH),1.33449171120912,103.879229798358,HDB,80.075,Moderate Accessibility,2,TOA PAYOH
Block 2A (WOODLANDS),1.44017739511638,103.776496871681,HDB,68.0901,Poor Accessibility,3,WOODLANDS
